epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2529.24,0.16705,0.98212,1,0.0564,0.00333301,0.00333301,0.00333301
2,5001.78,0.08832,0.98467,1,0.04902,0.0033665,0.0033665,0.0033665
